playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,adapt_score
smoltjo01,735,480.0,709,723,723,0,0,0,0,0,0,0,0,0,0.0,2.0,10.0,0.0
smootho01,680,,680,680,0,0,0,0,0,0,4,643,31,678,,,,0.17099999999999982
smoyehe01,6,3.0,6,6,0,0,0,0,2,5,0,0,0,0,0.0,0.0,1.0,0.7938000000000001
smykafr01,6,4.0,6,6,0,0,0,0,1,5,0,0,0,0,0.0,1.0,0.0,0.5125000000000002
smylydr01,156,85.0,7,156,156,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smythha01,63,12.0,63,60,60,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0.0
smythre01,129,50.0,129,74,0,0,0,12,4,0,24,8,26,58,0.0,38.0,20.0,1.7335
smythst01,8,7.0,8,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snarery01,1,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
sneades01,18,1.0,18,7,0,0,0,0,0,0,2,5,0,7,0.0,4.0,11.0,0.7938000000000001
sneedjo01,263,,263,263,0,0,0,0,0,2,26,24,211,261,,,,0.6387
snellbl01,19,19.0,1,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snellch01,8,4.0,8,8,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snellch02,93,63.0,93,78,0,0,0,0,0,0,35,6,38,78,0.0,19.0,0.0,1.1935
snellia01,162,136.0,134,152,152,0,0,0,0,0,0,0,0,0,0.0,1.0,9.0,0.0
snellna01,104,2.0,1,104,104,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snellwa01,6,2.0,6,2,0,2,0,0,0,0,0,0,0,0,0.0,4.0,0.0,0.0
snidedu01,2143,1815.0,2143,1918,0,0,0,0,0,0,81,1589,293,1918,0.0,278.0,3.0,0.6015999999999999
snidetr01,630,443.0,630,510,1,0,0,0,0,0,264,6,258,509,13.0,153.0,4.0,1.049
snideva01,19,7.0,19,14,0,0,0,0,0,0,11,0,5,14,0.0,6.0,1.0,0.8437999999999999
snodgch01,3,,3,3,0,0,0,0,0,0,2,0,0,2,,,,0.0
snodgfr01,925,727.0,925,900,0,6,61,5,3,2,112,672,71,822,0.0,21.0,4.0,0.9051999999999998
snodgsc01,4,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snookfr01,18,0.0,18,18,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snopech01,215,161.0,215,198,0,0,1,15,132,55,0,0,1,1,6.0,15.0,13.0,1.0238
snoveco01,2,1.0,2,2,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
snowch01,1,,1,1,0,1,0,0,0,0,0,0,0,0,,,,0.0
snowjt01,1716,1510.0,1716,1656,0,0,1656,0,0,0,0,0,0,0,2.0,94.0,0.0,0.0
snydebe01,10,8.0,10,8,0,0,0,5,0,4,0,0,0,0,0.0,2.0,0.0,1.0
snydebi01,18,5.0,18,18,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
